date,aapl.us,adbe.us,amat.us,amd.us,amzn.us,googl.us,intc.us,meta.us,msft.us,mu.us
2010-09-07,-0.0021562427,-0.00064596534,-0.0019721836,0.0032028109,-0.0024561025,-0.0059853196,-0.0059564114,-0.004972875,-0.009657614,-0.005053263
2010-09-08,0.002131641,0.0007711649,0.0018316507,0.0052191243,-0.001081977,0.00064240396,-0.0010195673,0.0008932054,-0.0040942654,-0.0020769127
2010-09-09,0.0035218745,-0.0017369986,0.0005337745,-0.00075647235,-0.0026901104,-0.00012563169,-0.0027374178,-0.0014766753,-0.008937806,-0.0040008277
2010-09-10,7.965416e-05,-0.011265144,-0.0052650273,-0.004239559,-0.003967706,0.003983408,-0.0040227026,0.0034834445,-0.015308797,-0.00595456
2010-09-13,0.0013256744,0.002298519,-0.00034087896,0.0046049654,-0.001019571,-0.0010995865,-0.0024195611,-0.0039129853,-0.0035843998,-0.0031580292
2010-09-14,0.0011398569,-9.047985e-05,-0.002955705,0.00070798397,-0.005280707,-0.010576785,-0.014480129,-0.009926021,-0.01048407,-0.006570764
2010-09-15,-0.004393637,0.00049339235,-0.0019406676,0.0060615093,-0.0014864542,-0.0036518425,-0.0028605908,-0.0034641325,-0.00722795,-0.0030308664
2010-09-16,0.0038927272,-0.0024384707,-0.0005340278,0.0019218847,-0.0018165447,0.0010758787,-0.004232481,-0.002713114,-0.0046133623,-0.005291987
2010-09-17,5.492568e-05,0.00073491037,-0.0012752414,0.0018862337,-0.0038128532,-0.0040129423,-0.0051796734,-0.007989556,-0.009510562,-0.006052859
2010-09-20,0.0022255704,-0.0022286922,-0.0012901276,0.0022103041,0.0002416633,0.0017586052,-0.0011977106,-2.5242567e-05,-0.0034420863,-0.0014913045
2010-09-21,-0.0004422143,-0.0033718348,-0.0026806742,-0.000998348,-0.0021138526,-0.0022874773,-0.0027540177,-0.00496915,-0.010401972,-0.0034694783
2010-09-22,-0.00056277215,-0.00067053735,-0.0006657839,0.0029286072,-0.000868354,2.1591783e-05,-0.0015403628,-0.003766209,-0.005167894,-0.0003046468
